Id,MSZoning,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,Functional,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageQual,GarageCond,PavedDrive,PoolQC,Fence,MiscFeature,MoSold,YrSold,SaleType,SaleCondition,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,SalePrice
1,RL,Pave,No alley,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,No Fireplace,Attchd,2003.0,RFn,TA,TA,Y,No Pool,No Fence,No feature,2,2008,WD,Normal,0.07241615062622181,0.21282444260508185,-0.2059252545215174,0.6560212594099923,-0.5205606663543899,0.5093270527908808,0.5791453907533397,-0.2895216797439581,-0.9434383388877174,-0.45741824319534,-0.7936346349668295,1.1622269319086111,-0.12057789121957523,0.37243403587758406,1.1104631500085165,-0.24176772110202963,0.7952540746221409,1.2314265170202758,0.16318740612523486,-0.21029711830014602,0.911801954833566,-0.9521920043909432,0.3138793157852574,0.35240336020817553,-0.7526720969284765,0.22067059571860062,-0.3592388279951953,-0.11666420926896225,-0.27101301664330646,-0.06888171270971953,-0.0879311199045929,0.3514708104354809
2,RL,Pave,No alley,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,1976,1976,Gable,CompShg,MetalSd,MetalSd,No veneer,TA,TA,CBlock,Gd,TA,Gd,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,1976.0,RFn,TA,TA,Y,No Pool,No Fence,No feature,5,2007,WD,Normal,-0.8720857330470169,0.6456523246177531,-0.09084454935006714,-0.06784706561198434,2.1738514390447294,-0.572899227649295,1.1764628084931439,-0.2895216797439581,-0.640414334739238,0.4697031453332471,0.26090388442906975,-0.794454446433175,-0.12057789121957523,-0.4796017353860108,-0.8169077000660736,3.934481842219934,0.7952540746221409,-0.75832835624968,0.16318740612523486,-0.21029711830014602,-0.31777484485370533,0.6019481512572666,0.3138793157852574,-0.05848182577956578,1.6230252698543473,-0.7027302693366689,-0.3592388279951953,-0.11666420926896225,-0.27101301664330646,-0.06888171270971953,-0.0879311199045929,0.011043682983344696
3,RL,Pave,No alley,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,2001.0,RFn,TA,TA,Y,No Pool,No Fence,No feature,9,2008,WD,Normal,0.07241615062622181,0.2993900190076161,0.07427124502636145,0.6560212594099923,-0.5205606663543899,0.3215939225104421,0.09602100875790998,-0.2895216797439581,-0.30120835994616413,-0.3112710292400948,-0.6274019619586089,1.1897212838291047,-0.12057789121957523,0.5169758185026582,1.1104631500085165,-0.24176772110202963,0.7952540746221409,1.2314265170202758,0.16318740612523486,-0.21029711830014602,-0.31777484485370533,0.6019481512572666,0.3138793157852574,0.6325523506543628,-0.7526720969284765,-0.06694606716746695,-0.3592388279951953,-0.11666420926896225,-0.27101301664330646,-0.06888171270971953,-0.0879311199045929,0.5405969923533344
4,RL,Pave,No alley,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,No veneer,TA,TA,BrkTil,TA,Gd,No,ALQ,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,Gd,Detchd,1998.0,Unf,TA,TA,Y,No Pool,No Fence,No feature,2,2006,WD,Abnorml,0.30854162154453146,0.06854848193419145,-0.09584805827056499,0.6560212594099923,-0.5205606663543899,-0.572899227649295,-0.496904369145572,-0.2895216797439581,-0.06150280442572525,-0.6857732650004108,-0.5209091558127176,0.9376897245579143,-0.12057789121957523,0.3857470948035777,1.1104631500085165,-0.24176772110202963,-1.0219327951049877,-0.75832835624968,0.16318740612523486,-0.21029711830014602,0.2970135549899303,0.6019481512572666,1.6494772254756052,0.7913034452405355,-0.7526720969284765,-0.17291010086233397,4.0918805868957016,-0.11666420926896225,-0.27101301664330646,-0.06888171270971953,-0.0879311199045929,-0.5122054203227165
5,RL,Pave,No alley,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,2000.0,RFn,TA,TA,Y,No Pool,No Fence,No feature,12,2008,WD,Normal,0.07241615062622181,0.7610730931544654,0.3754824820403312,1.3798895844319692,-0.5205606663543899,1.3596477017081618,0.46714837492712646,-0.2895216797439581,-0.17457146269008322,0.20252776982131435,-0.04299022091408346,1.618174934590128,-0.12057789121957523,1.3005444295754285,1.1104631500085165,-0.24176772110202963,0.7952540746221409,1.2314265170202758,1.3900523091703956,-0.21029711830014602,1.5265903546772015,0.6019481512572666,1.6494772254756052,1.6971185143498744,0.7779785554953562,0.5688381350017351,-0.3592388279951953,-0.11666420926896225,-0.27101301664330646,-0.06888171270971953,-0.0879311199045929,0.8747199137415421
6,RL,Pave,No alley,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,1993,1995,Gable,CompShg,VinylSd,VinylSd,No veneer,TA,TA,Wood,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,No Fireplace,Attchd,1993.0,Unf,TA,TA,Y,No Pool,MnPrv,Shed,10,2009,WD,Normal,-0.16370932029208785,0.7899282852886435,0.3609723061708875,-0.7917153906339611,-0.5205606663543899,-0.572899227649295,0.6362419086255269,-0.2895216797439581,-1.137916431102413,-0.5944312562783824,-0.9494777659120363,0.5023624858167676,-0.12057789121957523,-0.28941517930038696,1.1104631500085165,-0.24176772110202963,-1.0219327951049877,1.2314265170202758,-2.2905423999650867,-0.21029711830014602,-0.932563244697341,-0.9521920043909432,0.3138793157852574,0.034901171035829966,-0.43378654434017805,-0.24859869635866752,-0.3592388279951953,10.765120774211262,-0.27101301664330646,-0.06888171270971953,1.3186842844973192,-0.4743801839391458
7,RL,Pave,No alley,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,2004.0,RFn,TA,TA,Y,No Pool,No Fence,No feature,8,2007,WD,Normal,-0.8720857330470169,0.5013763639468627,-0.04241058299964809,1.3798895844319692,-0.5205606663543899,0.4541114262378106,2.035106596494112,-0.2895216797439581,-0.5657890202847617,1.437928437786747,1.3829744272345585,-0.794454446433175,-0.12057789121957523,0.34200418690388423,1.1104631500085165,-0.24176772110202963,0.7952540746221409,-0.75832835624968,0.16318740612523486,-0.21029711830014602,0.2970135549899303,0.6019481512572666,0.3138793157852574,0.7632885461959168,1.2802233008219264,0.16011971932153377,-0.3592388279951953,-0.11666420926896225,-0.27101301664330646,-0.06888171270971953,-0.0879311199045929,1.5933994050293854
8,RL,Pave,No alley,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,TA,TA,CBlock,Gd,TA,Mn,ALQ,BLQ,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,1973.0,RFn,TA,TA,Y,No Pool,No Fence,Shed,11,2009,WD,Normal,0.07241615062622181,-1.6627630461164935,-0.012589669833480983,0.6560212594099923,0.3775767021119833,0.7522758096243897,0.9151364382319795,-0.09171892770794586,-0.7941877099787649,0.11575286153538747,-0.14169087051271442,1.457791215053916,-0.12057789121957523,1.0951429490029547,1.1104631500085165,-0.24176772110202963,0.7952540746221409,1.2314265170202758,0.16318740612523486,-0.21029711830014602,0.2970135549899303,2.1560883069054766,0.3138793157852574,0.05357777039890912,1.120780524527777,2.385364426913741,3.3718465638986443,-0.11666420926896225,-0.27101301664330646,-0.06888171270971953,0.6153765822963632,0.2442993073486973
9,RM,Pave,No alley,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,1931,1950,Gable,CompShg,BrkFace,Wd Shng,No veneer,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Gd,Y,FuseF,TA,Min1,TA,Detchd,1931.0,Unf,Fa,TA,Y,No Pool,No Fence,No feature,4,2008,WD,Abnorml,-0.16370932029208785,-0.1911482472734113,-0.43908877021671655,0.6560212594099923,-0.5205606663543899,-0.572899227649295,-0.9712446714683576,-0.2895216797439581,0.8701829396725844,-0.23819742226247215,-0.3624686393517574,0.9285249405844166,-0.12057789121957523,0.49415343177238336,-0.8169077000660736,-0.24176772110202963,0.7952540746221409,-0.75832835624968,-1.0636774969199259,4.344047936229884,0.911801954833566,2.1560883069054766,0.3138793157852574,-0.02112862705340748,-0.03517960360480493,-0.7027302693366689,2.9954651427865464,-0.11666420926896225,-0.27101301664330646,-0.06888171270971953,-0.0879311199045929,-0.6395503828140712
10,RL,Pave,No alley,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,1939,1950,Gable,CompShg,MetalSd,MetalSd,No veneer,TA,TA,BrkTil,TA,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,1939.0,RFn,Gd,TA,Y,No Pool,No Fence,No feature,1,2008,WD,Normal,3.1420472725642474,-0.22000343940758935,-0.3089975382837728,-0.7917153906339611,0.3775767021119833,-0.572899227649295,0.8975682788866911,-0.2895216797439581,-0.966052070540589,-0.14913896375849456,-0.21961243598531782,-0.794454446433175,-0.12057789121957523,-0.8314468641444149,1.1104631500085165,-0.24176772110202963,-1.0219327951049877,-0.75832835624968,-1.0636774969199259,4.344047936229884,-0.932563244697341,2.1560883069054766,-1.0217185939050903,-1.2491150351758615,-0.7526720969284765,-0.6421793929396021,-0.3592388279951953,-0.11666420926896225,-0.27101301664330646,-0.06888171270971953,-0.0879311199045929,-0.7895904871355682
